,Voltage,l,lf,lg,li,w,wf,wg,wi
1233,4V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
1234,5V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
1235,5V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
1236,5V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
1237,5V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
1238,5V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
1239,5V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
1240,5V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
1241,5V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
1242,5V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
1783,0V,28.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
1784,0V,28.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
1785,0V,28.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
1786,0V,28.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
1787,0V,28.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
1788,0V,28.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
1789,0V,28.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
1790,0V,28.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
1791,0V,28.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
1792,1V,28.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
1793,1V,28.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
1794,1V,28.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
1795,1V,28.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
1796,1V,28.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
1797,1V,28.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
1798,1V,28.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
1799,1V,28.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
1800,1V,28.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
1801,2V,28.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
1802,2V,28.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
1803,2V,28.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
1804,2V,28.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
1805,2V,28.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
1806,2V,28.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
1807,2V,28.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
1808,2V,28.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
1809,2V,28.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
1810,3V,28.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
1811,3V,28.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
1812,3V,28.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
1813,3V,28.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
1814,3V,28.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
1815,3V,28.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
1816,3V,28.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
1817,3V,28.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
1818,3V,28.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
1819,4V,28.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
1820,4V,28.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
1821,4V,28.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
1822,4V,28.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
1823,4V,28.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
1824,4V,28.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
1825,4V,28.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
1826,4V,28.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
